Nome,Time,Pais,Posicao,Ritmo,Chute,Passe,Drible,Defesa,Fisico
Marquinhos,PSG,Brasil,CB,79,56,75,74,89,81
Robert Lewandowski,Barcelona,Polonia,ST,75,88,79,86,44,84
Kevin De Bruyne,Manchester City,Belgica,CM,67,87,94,87,65,78
Luka Modric,Real Madrid,Croacia,CM,72,76,88,87,71,64
Jude Bellingham,Real Madrid,Inglaterra,CAM,80,87,83,88,78,83
Bernardo Silva,Manchester City,Portugal,CM,75,78,86,92,71,69
Karim Benzema,Al-Ittihad,Franca,ST,80,88,83,87,39,78 
Lautaro Martinez,Inter de Milao,Argentina,ST,82,88,75,87,54,85
Joshua Kimmich,Bayern de Munique,Alemanha,CDM,70,73,86,84,83,79
Mohamed Salah,Liverpool,Egito,RW,89,87,82,88,45,75
João Cancelo,Al-Hilal,Portugal,LB,81,73,85,85,80,72
Erling Haaland,Manchester City,Noruega,ST,74,91,76,82,61,90
Harry Kane,Bayern de Munique,Inglaterra,ST,88,92,70,81,45,88
Frenkie de Jong,Barcelona,Holanda,CM,82,69,86,87,77,78
Neymar Jr,Santos,Brasil,LW,85,79,84,92,37,60
Kylian Mbappé,Real Madrid,França,ST,97,90,80,92,36,78
Virgil van Dijk,Liverpool,Holanda,CB,78,60,71,71,89,86
Sadio Mané,Al-Nassr,Senegal,LM,83,81,78,86,44,75
Bruno Fernandes,Manchester United,Portugal,CAM,70,85,88,83,65,75
Sergio Ramos,Sevilla,Espanha,CB,57,69,73,70,83,76
Raheem Sterling,Arsenal,Inglaterra,LM,85,78,75,85,42,65
Toni Kroos,Real Madrid,Alemanha,CM,51,80,90,81,70,71
Paulo Dybala,Roma,Argentina,CAM,80,85,84,89,41,65
Romelu Lukaku,Napoli,Bélgica,ST,79,82,73,74,38,82
Antoine Griezmann,Barcelona,França,ST,80,88,87,89,59,75
Jadon Sancho,Chelsea,Inglaterra,LM,79,69,78,89,32,50
Phil Foden,Manchester City,Inglaterra,RW,86,86,85,90,57,63
Ruben Dias,Manchester City,Portugal,CB,67,39,70,69,89,87
Karim Adeyemi,Borussia Dortmund,Alemanha,LM,96,73,71,81,34,70